Title,Latitude,Longitude,"Company Size","Target Year","Target Status","All GHGs","Excludes International Offsets","Includes Interim Targets","Includes Scopes,","Source (URL)","Source (Text)","Climate Ambition Alliance","Published Net Zero Plan","Reporting Initiatives"
Suntory,35.65810000,139.75150000,"$11,900,000,000",2050,"In Policy Document",Yes,No,No,"Unclear or Undecided",https://www.suntory.com/news/article/13721E.html,PR,No,No,
"Ernst & Young",51.50501000,-0.08039000,"$36,400,000,000",2021,"In Policy Document",Yes,No,No,No,https://www.ey.com/en_gl/news/2020/01/ey-announces-commitment-to-be-carbon-neutral-by-end-of-2020,PR,No,No,
"Severn Trent",51.39844000,-0.07090000,"$2,177,110,000",2030,"In Policy Document",Yes,No,"Unclear or Undecided",No,https://www.stwater.co.uk/news/news-releases/severn-trent-reveals-plans-to-spend-p1-2bn-to-improve-the-enviro/,PR,No,No,
"Fortescue Metals",-31.96120000,115.87341000,"$14,370,000,000",2040,"In Policy Document","Unclear or Undecided",No,Yes,No,https://www.australianmining.com.au/news/fortescue-in-urgent-race-for-carbon-neutrality-company-ceo/,Article,No,No,
"Zurich Insurance Group",47.36211590,8.53502770,"$47,180,000,000",2014,Achieved,Yes,No,N/A,No,https://www.zurich.com/en/sustainability/climate-change/carbon-neutral,PR,No,Yes,"CDP, SBTi"
"Google (Alphabet)",37.42323050,-122.08515120,"$160,740,000,000",2007,Achieved,Yes,Yes,N/A,No,https://services.google.com/fh/files/misc/google_2019-environmental-report.pdf,PR,No,Yes,CDP
"Dominion Energy",37.54070000,-77.43600000,"$13,366,000,000",2050,"In Policy Document",Yes,No,Yes,No,https://news.dominionenergy.com/2020-02-11-Dominion-Energy-Sets-New-Goal-of-Net-Zero-Emissions-by-2050,PR,No,No,
"Royal Dutch Shell",52.08620000,4.33710000,"$344,900,000,000",2050,"In Policy Document",Yes,No,Yes,No,https://www.shell.com/energy-and-innovation/the-energy-future/shells-ambition-to-be-a-net-zero-emissions-energy-business.html,PR,No,No,
"Lundin Energy",59.32930000,18.06860000,"$2,948,700,000",2030,"In Policy Document",Yes,No,Yes,No,https://www.lundin-energy.com/launch-of-the-decarbonisation-strategy-targeting-carbon-neutrality-by-2030-and-proposed-name-change-to-lundin-energy-ab/,PR,No,No,
"Total S.A.",48.89280000,2.24330000,"$209,363,000,000",2050,"In Policy Document",Yes,No,Yes,No,https://www.total.com/media/news/total-adopts-new-climate-ambition-get-net-zero-2050,PR,No,No,
"Southern Company",33.74900000,-84.38800000,"$21,420,000,000",2050,"In Policy Document",Yes,No,Yes,No,https://www.southerncompany.com/newsroom/2020/may-2020/transition-to-net-zero-carbon-emissions-goal.html,PR,No,No,
"Thomson Reuters",43.64256700,-79.38705400,"$5,900,000,000",2050,"In Policy Document",Yes,No,Yes,No,https://www.thomsonreuters.com/en/press-releases/2020/april/thomson-reuters-aims-for-net-zero-emissions-by-2050.html,PR,No,No,
"Delta Air Lines",33.74900000,-84.38800000,"$44,438,000,000",2050,"In Policy Document",Yes,No,Yes,"Unclear or Undecided",https://www.delta.com/us/en/about-delta/sustainability,PR,No,Yes,
